 x	data2	data1	
1.89	0.0222207	0.0138664	
1.9	0.0222429	0.014072	
1.91	0.0222652	0.0142806	
1.92	0.0222874	0.0144922	
1.93	0.0223097	0.0147069	
1.94	0.0223321	0.0149247	
1.95	0.0223544	0.0151456	
1.96	0.0223768	0.0153698	
1.97	0.0223991	0.0155972	
1.98	0.0224216	0.0158279	
1.99	0.022444	0.0160619	
2	0.0224664	0.0162993	
2.01	0.0224889	0.0165402	
2.02	0.0225114	0.0167845	
2.03	0.0225339	0.0170323	
2.04	0.0225565	0.0172837	
2.05	0.0225791	0.0175388	
2.06	0.0226017	0.0177975	
2.07	0.0226243	0.0180599	
2.08	0.0226469	0.0183261	
2.09	0.0226696	0.0185961	
2.1	0.0226922	0.01887	
2.11	0.0227149	0.0191478	
2.12	0.0227377	0.0194296	
2.13	0.0227604	0.0197154	
2.14	0.0227832	0.0200053	
2.15	0.022806	0.0202993	
2.16	0.0228288	0.0205976	
2.17	0.0228516	0.0209001	
2.18	0.0228745	0.0212069	
2.19	0.0228974	0.021518	
2.2	0.0229203	0.0218336	
2.21	0.0229432	0.0221537	
2.22	0.0229662	0.0224783	
2.23	0.0229892	0.0228076	
2.24	0.0230122	0.0231415	
2.25	0.0230352	0.0234801	
2.26	0.0230582	0.0238235	
2.27	0.0230813	0.0241717	
2.28	0.0231044	0.0245249	
2.29	0.0231275	0.024883	
2.3	0.0231507	0.0252462	
2.31	0.0231738	0.0256145	
2.32	0.023197	0.0259879	
2.33	0.0232202	0.0263666	
2.34	0.0232434	0.0267507	
2.35	0.0232667	0.02714	
2.36	0.02329	0.0275349	
2.37	0.0233133	0.0279352	
2.38	0.0233366	0.0283411	
2.39	0.0233599	0.0287527	
2.4	0.0233833	0.02917	
2.41	0.0234067	0.0295931	
2.42	0.0234301	0.0300221	
2.43	0.0234536	0.030457	
2.44	0.023477	0.0308979	
2.45	0.0235005	0.0313449	
2.46	0.023524	0.0317981	
2.47	0.0235476	0.0322576	
2.48	0.0235711	0.0327233	
2.49	0.0235947	0.0331955	
2.5	0.0236183	0.0336741	
2.51	0.023642	0.0341593	
2.52	0.0236656	0.0346511	
2.53	0.0236893	0.0351497	
2.54	0.023713	0.035655	
2.55	0.0237367	0.0361672	
2.56	0.0237605	0.0366864	
2.57	0.0237842	0.0372126	
2.58	0.023808	0.037746	
2.59	0.0238319	0.0382865	
2.6	0.0238557	0.0388344	
2.61	0.0238796	0.0393896	
2.62	0.0239035	0.0399523	
2.63	0.0239274	0.0405226	
2.64	0.0239513	0.0411005	
2.65	0.0239753	0.0416861	
2.66	0.0239993	0.0422795	
2.67	0.0240233	0.0428809	
2.68	0.0240473	0.0434902	
2.69	0.0240714	0.0441076	
2.7	0.0240954	0.0447332	
2.71	0.0241196	0.0453671	
2.72	0.0241437	0.0460093	
2.73	0.0241678	0.0466599	
2.74	0.024192	0.0473191	
2.75	0.0242162	0.0479869	
2.76	0.0242405	0.0486635	
2.77	0.0242647	0.0493489	
2.78	0.024289	0.0500431	
2.79	0.0243133	0.0507464	
2.8	0.0243376	0.0514588	
2.81	0.024362	0.0521804	
2.82	0.0243863	0.0529113	
2.83	0.0244107	0.0536515	
2.84	0.0244352	0.0544013	
2.85	0.0244596	0.0551606	
2.86	0.0244841	0.0559296	
2.87	0.0245086	0.0567083	
2.88	0.0245331	0.057497	
2.89	0.0245576	0.0582955	
2.9	0.0245822	0.0591042	
2.91	0.0246068	0.059923	
2.92	0.0246314	0.060752	
2.93	0.0246561	0.0615914	
2.94	0.0246807	0.0624413	
2.95	0.0247054	0.0633016	
2.96	0.0247301	0.0641726	
2.97	0.0247549	0.0650544	
2.98	0.0247797	0.065947	
2.99	0.0248044	0.0668505	
3	0.0248293	0.067765	
3.01	0.0248541	0.0686906	
3.02	0.024879	0.0696275	
3.03	0.0249039	0.0705756	
3.04	0.0249288	0.0715352	
3.05	0.0249537	0.0725062	
3.06	0.0249787	0.0734888	
3.07	0.0250037	0.0744831	
3.08	0.0250287	0.0754891	
3.09	0.0250537	0.076507	
3.1	0.0250788	0.0775369	
3.11	0.0251039	0.0785788	
3.12	0.025129	0.0796328	
3.13	0.0251542	0.080699	
3.14	0.0251793	0.0817776	
3.15	0.0252045	0.0828685	
3.16	0.0252297	0.0839718	
3.17	0.025255	0.0850877	
3.18	0.0252802	0.0862163	
3.19	0.0253055	0.0873575	
3.2	0.0253308	0.0885116	
3.21	0.0253562	0.0896785	
3.22	0.0253816	0.0908583	
3.23	0.025407	0.0920512	
3.24	0.0254324	0.0932571	
3.25	0.0254578	0.0944762	
3.26	0.0254833	0.0957085	
3.27	0.0255088	0.0969541	
3.28	0.0255343	0.0982131	
3.29	0.0255599	0.0994855	
3.3	0.0255854	0.100771	
3.31	0.025611	0.102071	
3.32	0.0256367	0.103384	
3.33	0.0256623	0.10471	
3.34	0.025688	0.106051	
3.35	0.0257137	0.107405	
3.36	0.0257394	0.108773	
3.37	0.0257652	0.110154	
3.38	0.0257909	0.11155	
3.39	0.0258167	0.112959	
3.4	0.0258426	0.114382	
3.41	0.0258684	0.11582	
3.42	0.0258943	0.117271	
3.43	0.0259202	0.118736	
3.44	0.0259461	0.120216	
3.45	0.0259721	0.121709	
3.46	0.0259981	0.123217	
3.47	0.0260241	0.124738	
3.48	0.0260501	0.126274	
3.49	0.0260762	0.127823	
3.5	0.0261023	0.129387	
3.51	0.0261284	0.130965	
3.52	0.0261545	0.132556	
3.53	0.0261807	0.134162	
3.54	0.0262069	0.135782	
3.55	0.0262331	0.137416	
3.56	0.0262594	0.139063	
3.57	0.0262856	0.140725	
3.58	0.0263119	0.1424	
3.59	0.0263383	0.144089	
3.6	0.0263646	0.145792	
3.61	0.026391	0.147509	
3.62	0.0264174	0.149239	
3.63	0.0264438	0.150982	
3.64	0.0264703	0.15274	
3.65	0.0264968	0.15451	
3.66	0.0265233	0.156294	
3.67	0.0265498	0.158091	
3.68	0.0265764	0.159901	
3.69	0.026603	0.161724	
