 x1	  y1
0	 0
1e-05	 5.62341e-07
2e-05	 1.33748e-06
3e-05	 2.22025e-06
4e-05	 3.18108e-06
5e-05	 4.20448e-06
6e-05	 5.28067e-06
7e-05	 6.40284e-06
8e-05	 7.56593e-06
9e-05	 8.76603e-06
0.0001	 1e-05
0.00011	 1.12653e-05
0.00012	 1.25596e-05
0.00013	 1.38813e-05
0.00014	 1.52286e-05
0.00015	 1.66002e-05
0.00016	 1.79949e-05
0.00017	 1.94116e-05
0.00018	 2.08493e-05
0.00019	 2.2307e-05
0.0002	 2.37841e-05
0.00021	 2.52798e-05
0.00022	 2.67934e-05
0.00023	 2.83243e-05
0.00024	 2.9872e-05
0.00025	 3.14358e-05
0.00026	 3.30154e-05
0.00027	 3.46102e-05
0.00028	 3.62199e-05
0.00029	 3.7844e-05
0.0003	 3.94822e-05
0.00031	 4.11341e-05
0.00032	 4.27994e-05
0.00033	 4.44777e-05
0.00034	 4.61688e-05
0.00035	 4.78724e-05
0.00036	 4.95882e-05
0.00037	 5.13159e-05
0.00038	 5.30554e-05
0.00039	 5.48063e-05
0.0004	 5.65685e-05
0.00041	 5.83418e-05
0.00042	 6.01259e-05
0.00043	 6.19207e-05
0.00044	 6.37259e-05
0.00045	 6.55414e-05
0.00046	 6.7367e-05
0.00047	 6.92026e-05
0.00048	 7.10479e-05
0.00049	 7.29029e-05
0.0005	 7.47674e-05
0.00051	 7.66413e-05
0.00052	 7.85243e-05
0.00053	 8.04164e-05
0.00054	 8.23175e-05
0.00055	 8.42274e-05
0.00056	 8.6146e-05
0.00057	 8.80732e-05
0.00058	 9.00088e-05
0.00059	 9.19528e-05
0.0006	 9.39051e-05
0.00061	 9.58655e-05
0.00062	 9.7834e-05
0.00063	 9.98104e-05
0.00064	 0.000101795
0.00065	 0.000103787
0.00066	 0.000105786
0.00067	 0.000107794
0.00068	 0.000109809
0.00069	 0.000111831
0.0007	 0.00011386
0.00071	 0.000115897
0.00072	 0.000117941
0.00073	 0.000119992
0.00074	 0.000122051
0.00075	 0.000124116
0.00076	 0.000126188
0.00077	 0.000128267
0.00078	 0.000130352
0.00079	 0.000132444
0.0008	 0.000134543
0.00081	 0.000136649
0.00082	 0.000138761
0.00083	 0.000140879
0.00084	 0.000143004
0.00085	 0.000145136
0.00086	 0.000147273
0.00087	 0.000149417
0.00088	 0.000151567
0.00089	 0.000153723
0.0009	 0.000155885
0.00091	 0.000158053
0.00092	 0.000160227
0.00093	 0.000162407
0.00094	 0.000164592
0.00095	 0.000166784
0.00096	 0.000168981
0.00097	 0.000171185
0.00098	 0.000173393
0.00099	 0.000175608
0.001	 0.000177828
0.00101	 0.000180054
0.00102	 0.000182285
0.00103	 0.000184521
0.00104	 0.000186763
0.00105	 0.000189011
0.00106	 0.000191264
0.00107	 0.000193522
0.00108	 0.000195785
0.00109	 0.000198054
0.0011	 0.000200328
0.00111	 0.000202607
0.00112	 0.000204891
0.00113	 0.00020718
0.00114	 0.000209474
0.00115	 0.000211774
0.00116	 0.000214078
0.00117	 0.000216388
0.00118	 0.000218702
0.00119	 0.000221021
0.0012	 0.000223345
0.00121	 0.000225674
0.00122	 0.000228008
0.00123	 0.000230346
0.00124	 0.00023269
0.00125	 0.000235038
0.00126	 0.00023739
0.00127	 0.000239748
0.00128	 0.00024211
0.00129	 0.000244477
0.0013	 0.000246848
0.00131	 0.000249224
0.00132	 0.000251604
0.00133	 0.000253989
0.00134	 0.000256378
0.00135	 0.000258772
0.00136	 0.00026117
0.00137	 0.000263573
