 x	data2	data1	
2.13	0.772396	0.986679	
2.14	0.772168	0.98648	
2.15	0.77194	0.986279	
2.16	0.771712	0.986074	
2.17	0.771484	0.985867	
2.18	0.771255	0.985656	
2.19	0.771026	0.985443	
2.2	0.770797	0.985226	
2.21	0.770568	0.985006	
2.22	0.770338	0.984783	
2.23	0.770108	0.984556	
2.24	0.769878	0.984327	
2.25	0.769648	0.984094	
2.26	0.769418	0.983857	
2.27	0.769187	0.983617	
2.28	0.768956	0.983374	
2.29	0.768725	0.983127	
2.3	0.768493	0.982876	
2.31	0.768262	0.982622	
2.32	0.76803	0.982364	
2.33	0.767798	0.982102	
2.34	0.767566	0.981836	
2.35	0.767333	0.981567	
2.36	0.7671	0.981293	
2.37	0.766867	0.981016	
2.38	0.766634	0.980735	
2.39	0.766401	0.980449	
2.4	0.766167	0.98016	
2.41	0.765933	0.979866	
2.42	0.765699	0.979568	
2.43	0.765464	0.979265	
2.44	0.76523	0.978959	
2.45	0.764995	0.978647	
2.46	0.76476	0.978332	
2.47	0.764524	0.978011	
2.48	0.764289	0.977687	
2.49	0.764053	0.977357	
2.5	0.763817	0.977023	
2.51	0.76358	0.976683	
2.52	0.763344	0.976339	
2.53	0.763107	0.97599	
2.54	0.76287	0.975636	
2.55	0.762633	0.975277	
2.56	0.762395	0.974913	
2.57	0.762158	0.974544	
2.58	0.76192	0.974169	
2.59	0.761681	0.973789	
2.6	0.761443	0.973403	
2.61	0.761204	0.973012	
2.62	0.760965	0.972615	
2.63	0.760726	0.972213	
2.64	0.760487	0.971805	
2.65	0.760247	0.971391	
2.66	0.760007	0.970971	
2.67	0.759767	0.970545	
2.68	0.759527	0.970113	
2.69	0.759286	0.969675	
2.7	0.759046	0.969231	
2.71	0.758804	0.968781	
2.72	0.758563	0.968324	
2.73	0.758322	0.96786	
2.74	0.75808	0.967391	
2.75	0.757838	0.966914	
2.76	0.757595	0.966431	
2.77	0.757353	0.965941	
2.78	0.75711	0.965444	
2.79	0.756867	0.96494	
2.8	0.756624	0.964429	
2.81	0.75638	0.963911	
2.82	0.756137	0.963385	
2.83	0.755893	0.962852	
2.84	0.755648	0.962312	
2.85	0.755404	0.961764	
2.86	0.755159	0.961209	
2.87	0.754914	0.960646	
2.88	0.754669	0.960075	
2.89	0.754424	0.959496	
2.9	0.754178	0.958909	
2.91	0.753932	0.958314	
2.92	0.753686	0.95771	
2.93	0.753439	0.957099	
2.94	0.753193	0.956478	
2.95	0.752946	0.95585	
2.96	0.752699	0.955212	
2.97	0.752451	0.954566	
2.98	0.752203	0.953911	
2.99	0.751956	0.953247	
3	0.751707	0.952574	
3.01	0.751459	0.951892	
3.02	0.75121	0.9512	
3.03	0.750961	0.950499	
3.04	0.750712	0.949789	
3.05	0.750463	0.949069	
3.06	0.750213	0.948339	
3.07	0.749963	0.947599	
3.08	0.749713	0.946849	
3.09	0.749463	0.946089	
3.1	0.749212	0.945319	
3.11	0.748961	0.944538	
3.12	0.74871	0.943747	
3.13	0.748458	0.942945	
3.14	0.748207	0.942133	
3.15	0.747955	0.94131	
3.16	0.747703	0.940476	
3.17	0.74745	0.93963	
3.18	0.747198	0.938774	
3.19	0.746945	0.937906	
3.2	0.746692	0.937027	
3.21	0.746438	0.936136	
3.22	0.746184	0.935233	
3.23	0.74593	0.934318	
3.24	0.745676	0.933392	
3.25	0.745422	0.932453	
3.26	0.745167	0.931502	
3.27	0.744912	0.930539	
3.28	0.744657	0.929563	
3.29	0.744401	0.928575	
3.3	0.744146	0.927574	
3.31	0.74389	0.926559	
3.32	0.743633	0.925532	
3.33	0.743377	0.924492	
3.34	0.74312	0.923438	
3.35	0.742863	0.922371	
3.36	0.742606	0.92129	
3.37	0.742348	0.920195	
3.38	0.742091	0.919087	
3.39	0.741833	0.917964	
3.4	0.741574	0.916827	
3.41	0.741316	0.915676	
3.42	0.741057	0.914511	
3.43	0.740798	0.913331	
3.44	0.740539	0.912136	
3.45	0.740279	0.910926	
3.46	0.740019	0.909702	
3.47	0.739759	0.908462	
3.48	0.739499	0.907207	
3.49	0.739238	0.905937	
3.5	0.738977	0.904651	
3.51	0.738716	0.903349	
3.52	0.738455	0.902031	
3.53	0.738193	0.900698	
3.54	0.737931	0.899348	
3.55	0.737669	0.897982	
3.56	0.737406	0.8966	
3.57	0.737144	0.895201	
3.58	0.736881	0.893785	
3.59	0.736617	0.892353	
3.6	0.736354	0.890903	
3.61	0.73609	0.889437	
3.62	0.735826	0.887953	
3.63	0.735562	0.886452	
3.64	0.735297	0.884933	
3.65	0.735032	0.883397	
3.66	0.734767	0.881843	
3.67	0.734502	0.880271	
3.68	0.734236	0.878681	
3.69	0.73397	0.877073	
3.7	0.733704	0.875447	
3.71	0.733438	0.873802	
3.72	0.733171	0.872138	
3.73	0.732904	0.870456	
3.74	0.732637	0.868756	
3.75	0.732369	0.867036	
3.76	0.732102	0.865297	
3.77	0.731833	0.863539	
3.78	0.731565	0.861762	
3.79	0.731297	0.859965	
3.8	0.731028	0.858149	
3.81	0.730759	0.856313	
3.82	0.730489	0.854458	
3.83	0.73022	0.852582	
3.84	0.72995	0.850687	
3.85	0.72968	0.848772	
3.86	0.729409	0.846836	
3.87	0.729138	0.844881	
3.88	0.728867	0.842905	
3.89	0.728596	0.840908	
3.9	0.728325	0.838891	
3.91	0.728053	0.836853	
3.92	0.727781	0.834795	
3.93	0.727508	0.832716	
3.94	0.727236	0.830616	
3.95	0.726963	0.828495	
3.96	0.72669	0.826353	
3.97	0.726416	0.82419	
3.98	0.726142	0.822006	
3.99	0.725868	0.819801	
4	0.725594	0.817574	
4.01	0.72532	0.815327	
4.02	0.725045	0.813057	
4.03	0.72477	0.810767	
4.04	0.724494	0.808455	
4.05	0.724219	0.806121	
4.06	0.723943	0.803766	
4.07	0.723667	0.801389	
4.08	0.72339	0.798991	
4.09	0.723113	0.796571	
4.1	0.722836	0.79413	
4.11	0.722559	0.791666	
4.12	0.722281	0.789182	
4.13	0.722004	0.786675	
4.14	0.721725	0.784147	
4.15	0.721447	0.781597	
4.16	0.721168	0.779026	
4.17	0.720889	0.776433	
4.18	0.72061	0.773819	
4.19	0.720331	0.771182	
4.2	0.720051	0.768525	
4.21	0.719771	0.765846	
4.22	0.71949	0.763145	
4.23	0.71921	0.760423	
4.24	0.718929	0.75768	
4.25	0.718648	0.754915	
4.26	0.718366	0.752129	
4.27	0.718084	0.749322	
4.28	0.717802	0.746494	
4.29	0.71752	0.743645	
4.3	0.717237	0.740775	
4.31	0.716954	0.737884	
4.32	0.716671	0.734973	
4.33	0.716388	0.732041	
4.34	0.716104	0.729088	
4.35	0.71582	0.726115	
4.36	0.715536	0.723122	
4.37	0.715251	0.720109	
4.38	0.714966	0.717075	
4.39	0.714681	0.714022	
4.4	0.714395	0.71095	
4.41	0.71411	0.707857	
4.42	0.713824	0.704746	
4.43	0.713537	0.701615	
4.44	0.713251	0.698465	
4.45	0.712964	0.695297	
4.46	0.712677	0.69211	
4.47	0.712389	0.688904	
4.48	0.712101	0.68568	
4.49	0.711813	0.682438	
4.5	0.711525	0.679179	
4.51	0.711236	0.675902	
4.52	0.710948	0.672607	
4.53	0.710658	0.669295	
4.54	0.710369	0.665967	
4.55	0.710079	0.662622	
4.56	0.709789	0.65926	
4.57	0.709499	0.655883	
4.58	0.709208	0.652489	
4.59	0.708917	0.649081	
4.6	0.708626	0.645656	
4.61	0.708334	0.642217	
4.62	0.708043	0.638763	
4.63	0.70775	0.635295	
4.64	0.707458	0.631812	
4.65	0.707165	0.628316	
4.66	0.706872	0.624806	
4.67	0.706579	0.621284	
4.68	0.706286	0.617748	
4.69	0.705992	0.6142	
4.7	0.705698	0.610639	
4.71	0.705403	0.607067	
4.72	0.705108	0.603483	
4.73	0.704813	0.599888	
4.74	0.704518	0.596283	
4.75	0.704222	0.592667	
4.76	0.703926	0.58904	
4.77	0.70363	0.585405	
4.78	0.703334	0.581759	
4.79	0.703037	0.578105	
4.8	0.70274	0.574443	
4.81	0.702442	0.570772	
4.82	0.702145	0.567093	
4.83	0.701847	0.563407	
4.84	0.701548	0.559714	
4.85	0.70125	0.556014	
4.86	0.700951	0.552308	
4.87	0.700652	0.548596	
4.88	0.700352	0.544879	
4.89	0.700052	0.541157	
4.9	0.699752	0.53743	
4.91	0.699452	0.533699	
4.92	0.699151	0.529964	
4.93	0.69885	0.526226	
4.94	0.698549	0.522485	
4.95	0.698247	0.518741	
