 x1	  y1
0.64	 0.65
0.66	 0.75
0.68	 0.85
0.7	 1
0.72	 1
0.74	 1
0.76	 1
0.78	 1
0.8	 1
0.82	 1
0.84	 1
0.86	 1
0.88	 1
0.9	 1
0.92	 1
0.94	 1
