 x	UtilityLEIVoIPUP	UtilityLEIVoIP	UtilityLEIVoIPDOWN	UtilityLEICBRUP	UtilityLEICBR	UtilityLEICBRDOWN	QHMLWDFVoIPUP	QHMLWDFVoIP	QHMLWDFVoIPDOWN	QHMLWDFCBRUP	QHMLWDFCBR	QHMLWDFCBRDOWN	SongVoIPUP	SongVoIP	SongVoIPDOWN	SongCBRUP	SongCBR	SongCBRDOWN	EXPPFVoIPUP	EXPPFVoIP	EXPPFVoIPDOWN	EXPPFCBRUP	EXPPFCBR	EXPPFCBRDOWN	
201	0.0114934	0.920167	0.0400452	0.0222222	0.977778	0.0333333	0.011303	0.939138	0.0258663	0.0156331	0.984367	0.0222222	0.00384203	0.91391	0.00402103	0.0808232	0.774679	0.0878995	0.00298907	0.944936	0.0041965	0.0489073	0.894015	0.0689698	
202	0.01517	0.902528	0.0334	0.0111111	0.983333	0.0222222	0.0123916	0.924608	0.0266781	0.0111111	0.983075	0.0219642	0.00283472	0.916432	0.00397847	0.0608307	0.73189	0.0469531	0.00312502	0.948718	0.0038834	0.0413382	0.89442	0.0480472	
203	0.0277636	0.861961	0.0597899	0.0304781	0.954835	0.0374945	0.0284901	0.881505	0.0663835	0.0284943	0.941366	0.0689264	0.00414721	0.916863	0.00253626	0.0422023	0.66858	0.0463502	0.00314423	0.945918	0.00387971	0.0372692	0.849702	0.0449986	
204	0.0530373	0.813801	0.0684961	0.0295671	0.928029	0.0694863	0.0291597	0.843087	0.0542652	0.0346987	0.925067	0.0473503	0.00242954	0.921545	0.00450343	0.060424	0.601265	0.0606322	0.00666809	0.947187	0.00306411	0.0540535	0.825498	0.0527955	
205	0.0254013	0.832138	0.0565959	0.0232298	0.96025	0.0266527	0.0231432	0.864787	0.0424607	0.0144254	0.956302	0.0194511	0.00519728	0.919414	0.00351365	0.0445025	0.590208	0.0721252	0.00304869	0.944564	0.00331481	0.065642	0.820427	0.0484425	
