 x	UtilityLEIVoIPUP	UtilityLEIVoIP	UtilityLEIVoIPDOWN	UtilityLEICBRUP	UtilityLEICBR	UtilityLEICBRDOWN	QHMLWDFVoIPUP	QHMLWDFVoIP	QHMLWDFVoIPDOWN	QHMLWDFCBRUP	QHMLWDFCBR	QHMLWDFCBRDOWN	SongVoIPUP	SongVoIP	SongVoIPDOWN	SongCBRUP	SongCBR	SongCBRDOWN	EXPPFVoIPUP	EXPPFVoIP	EXPPFVoIPDOWN	EXPPFCBRUP	EXPPFCBR	EXPPFCBRDOWN	
151	0.0196878	0.937436	0.0403609	0.0222222	0.977778	0.0533185	0.0214877	0.959516	0.0406465	0.0222222	0.977778	0.0422074	0.0036454	0.931358	0.00347988	0.0431078	0.945781	0.0621704	0.00237702	0.968516	0.0031444	0.0222222	0.966667	0.0555556	
152	0.0029202	0.955576	0.00309758	0.0111111	0.988179	0.0180195	0.00544311	0.973934	0.0102441	0.00399341	0.996007	0.00893983	0.00397056	0.93381	0.00405599	0.0336446	0.925749	0.045671	0.00240338	0.967495	0.00267663	0.0166626	0.97766	0.0278897	
153	0.0131291	0.936256	0.0224386	0.0120438	0.979789	0.0147553	0.0164344	0.952594	0.025188	0.00894217	0.991058	0.011006	0.0045906	0.935367	0.00256066	0.0298541	0.912653	0.0351943	0.00237507	0.965881	0.00284744	0.0128817	0.958291	0.0249708	
154	0.0283251	0.904436	0.0436118	0.0158685	0.966483	0.0249281	0.0250139	0.904942	0.0497209	0.019398	0.968419	0.0259416	0.00340284	0.931277	0.00299719	0.0714233	0.842916	0.0323904	0.0018186	0.965232	0.00320126	0.0232435	0.935234	0.0337637	
155	0.025786	0.894264	0.0384166	0.0111464	0.973802	0.0129159	0.0336668	0.891467	0.0540558	0.0110185	0.976197	0.014503	0.00393029	0.935326	0.00481405	0.0355698	0.813099	0.0380436	0.0020231	0.96597	0.00272566	0.0174119	0.936415	0.026373	
156	0.0313169	0.83631	0.0527331	0.0188443	0.942826	0.0419752	0.0432041	0.846845	0.0484037	0.0252645	0.929484	0.0435623	0.0030893	0.932317	0.00295179	0.0321562	0.816838	0.0482396	0.00243317	0.966532	0.00145212	0.0157774	0.919021	0.0303443	
157	0.0439996	0.842843	0.0527448	0.0234396	0.957507	0.0308441	0.0330612	0.861718	0.0765223	0.0212949	0.952227	0.0490908	0.00354323	0.933145	0.00259371	0.0239897	0.770428	0.0339732	0.00214775	0.964598	0.00235703	0.0201559	0.923604	0.023298	
158	0.0475042	0.801706	0.0629901	0.0240978	0.935305	0.0322365	0.0428376	0.824666	0.0622122	0.0239478	0.930896	0.0344912	0.0051319	0.932884	0.00471175	0.0297107	0.741316	0.03992	0.00257992	0.962089	0.00273067	0.0197983	0.901171	0.0302101	
159	0.0517036	0.758531	0.0565311	0.018453	0.943611	0.0429531	0.0719873	0.781371	0.062586	0.0206593	0.937284	0.0254454	0.00382014	0.932442	0.00417679	0.0359398	0.697024	0.0511556	0.00244826	0.964507	0.00312398	0.0248474	0.887324	0.0359385	
